url,titulo,preco,vendas,teste,marca
https://produto.mercadolivre.com.br/MLB-2054611816-furadeira-parafusadeira-14-bivolt-kit-gsr-1000sm-bosch-_JM?searchVariation=173806372054#searchVariation=173806372054&position=50&search_layout=stack&type=item&tracking_id=6b94ee52-e070-460f-9bfc-b81b66cdedb5,Furadeira/ Parafusadeira 1/4'' Bivolt + Kit Gsr 1000sm Bosch,404,16,2,Bosch
https://produto.mercadolivre.com.br/MLB-1756165752-parafusadeira-desparafusadeira-eletrica-bateria-12v-maleta-_JM?searchVariation=72289953190#searchVariation=72289953190&position=49&search_layout=stack&type=item&tracking_id=e9c74561-da0f-4617-a662-a9e9a5438f62,Parafusadeira Desparafusadeira Eletrica Bateria 12v Maleta,219,14,11,U.S.K.
https://produto.mercadolivre.com.br/MLB-1774409877-furadeira-impacto-parafusadeira-12-600w-sdh600-stanley-_JM?searchVariation=89536103627#searchVariation=89536103627&position=20&search_layout=stack&type=item&tracking_id=dc589044-d96c-4b44-b6bf-345855c0ccc3,Furadeira Impacto Parafusadeira 1/2 600w Sdh600 Stanley,325,2,13,Stanley
https://produto.mercadolivre.com.br/MLB-1312539188-furadeira-impacto-parafusadeira-sfio-21v-33nm-2-baterias-_JM?searchVariation=72952520169#searchVariation=72952520169&position=46&search_layout=stack&type=item&tracking_id=e9c74561-da0f-4617-a662-a9e9a5438f62,Furadeira Impacto Parafusadeira S/fio 21v 33nm 2 Baterias,698,15,11,USK
https://produto.mercadolivre.com.br/MLB-1614813418-furadeira-de-impacto-13mm-800w-auto-reverso-promoco-_JM?searchVariation=61128626997#searchVariation=61128626997&position=1&search_layout=stack&type=item&tracking_id=dc589044-d96c-4b44-b6bf-345855c0ccc3,Furadeira De Impacto 13mm 800w Auto Reverso Promoção!!,289,10,13,Nakasaki
https://www.mercadolivre.com.br/furadeira-martelete-eletrica-de-13mm-dewalt-dw505-60hz-800w-amarela-127v-acessorios/p/MLB15452263?pdp_filters=category:MLB189007#searchVariation=MLB15452263&position=45&search_layout=stack&type=product&tracking_id=511be196-67d9-4d89-a890-3333c71df510,Furadeira martelete elétrica de 13mm DeWalt DW505 60Hz 800W amarela 127V + acessórios,880,219,39,DeWalt
https://produto.mercadolivre.com.br/MLB-1563079372-bateria-20v-dewalt-max-ion-litio-20ah-dcb203-b3-n587486-_JM?searchVariation=70088915874#searchVariation=70088915874&position=50&search_layout=stack&type=item&tracking_id=dc589044-d96c-4b44-b6bf-345855c0ccc3,Bateria 20v Dewalt Max Íon-lítio -2.0ah- Dcb203-b3 - N587486,359,128,13,DeWalt
https://produto.mercadolivre.com.br/MLB-2184139549-parafusadeira-furadeira-eletrica-profisional-38-450-watts-_JM?searchVariation=174225050557#searchVariation=174225050557&position=44&search_layout=stack&type=item&tracking_id=d61c9e84-3cee-4d46-9085-9bc16f1d2115,Parafusadeira Furadeira Elétrica Profisional  3/8 450 Watts,148,4,10,Nakasaki
https://produto.mercadolivre.com.br/MLB-778939003-furadeira-de-impacto-eletrica-700-watts-dw508s-dewalt-220v-_JM?searchVariation=174362570557#searchVariation=174362570557&position=49&search_layout=stack&type=item&tracking_id=dc589044-d96c-4b44-b6bf-345855c0ccc3,Furadeira De Impacto Elétrica 700 Watts Dw508s Dewalt 220v,644,1,13,DeWalt
https://produto.mercadolivre.com.br/MLB-939304872-furadeira-parafusadeira-12v-thaf-bivolt-2-bat-litiomaleta-_JM?searchVariation=70417139777#searchVariation=70417139777&position=23&search_layout=stack&type=item&tracking_id=89eef087-3246-4569-a943-95ccd3c4fcb6,Furadeira Parafusadeira 12v Thaf Bivolt  2 Bat. Lítio+maleta,329,23,12,Thaf
https://produto.mercadolivre.com.br/MLB-1431747231-furadeira-impacto-600w-mandril-38-220v-com-maleta-goodyear-_JM?searchVariation=50439490868#searchVariation=50439490868&position=50&search_layout=stack&type=item&tracking_id=89eef087-3246-4569-a943-95ccd3c4fcb6,Furadeira Impacto 600w Mandril 3/8 220v Com Maleta Goodyear,217,1,12,Goodyear
https://produto.mercadolivre.com.br/MLB-1780778466-furadeira-impacto-reversivel-12-550w-fiv550n-220v-vonder-_JM?searchVariation=74379015182#searchVariation=74379015182&position=50&search_layout=stack&type=item&tracking_id=d61c9e84-3cee-4d46-9085-9bc16f1d2115,Furadeira Impacto Reversivel 1/2  550w Fiv550n 220v - Vonder,353,1,10,Vonder
https://produto.mercadolivre.com.br/MLB-1378917309-furadeira-de-impacto-parafusadeira-13mm-750w-wesco-110v-_JM?searchVariation=173897609970#searchVariation=173897609970&position=49&search_layout=stack&type=item&tracking_id=89eef087-3246-4569-a943-95ccd3c4fcb6,Furadeira De Impacto Parafusadeira 13mm 750w Wesco 110v,326,396,12,Wesco
